ConformationTimeStamp,ITQ_Value 7,ITQ_Value 11,ITQ_Value 35,ITQ_Value 63,ActiveBinding
adrb2_000000,NA,NA,NA,NA,NA
adrb2_000200,2,3,(39),(84),Y
adrb2_000400,NA,NA,NA,NA,NA
adrb2_000600,NA,NA,NA,NA,NA
adrb2_000800,NA,NA,NA,NA,NA
adrb2_001200,NA,NA,NA,NA,NA
adrb2_001400,2,2,18,(64),Y
adrb2_001600,NA,NA,NA,NA,NA
adrb2_001800,NA,NA,NA,NA,NA
adrb2_002000,1,5,(45),(69),Y
adrb2_002200,NA,NA,NA,NA,NA
adrb2_002400,NA,NA,NA,NA,NA
adrb2_002600,NA,NA,NA,NA,NA
adrb2_002800,NA,NA,NA,NA,NA
adrb2_003000,NA,NA,NA,NA,NA
adrb2_003200,NA,NA,NA,NA,NA
adrb2_003400,NA,NA,NA,NA,NA
adrb2_003600,NA,NA,NA,NA,NA
adrb2_003800,NA,NA,NA,NA,NA
adrb2_004000,NA,NA,NA,NA,NA
adrb2_004200,NA,NA,NA,NA,NA
adrb2_004400,NA,NA,NA,NA,NA
adrb2_004600,NA,NA,NA,NA,NA
adrb2_004800,NA,NA,NA,NA,NA
adrb2_005000,NA,NA,NA,NA,NA
adrb2_005200,NA,NA,NA,NA,NA
adrb2_005400,NA,NA,NA,NA,NA
adrb2_005600,NA,NA,NA,NA,NA
adrb2_005800,NA,NA,NA,NA,NA
adrb2_006000,NA,NA,NA,NA,NA
adrb2_006200,NA,NA,NA,NA,NA
adrb2_006400,NA,NA,NA,NA,NA
adrb2_006600,NA,NA,NA,NA,NA
adrb2_006800,NA,NA,NA,NA,NA
adrb2_007000,NA,NA,NA,NA,NA
adrb2_007200,NA,NA,NA,NA,NA
adrb2_007400,NA,NA,NA,NA,NA
adrb2_007600,NA,NA,NA,NA,NA
adrb2_007800,NA,NA,NA,NA,NA
adrb2_008000,NA,NA,NA,NA,NA
adrb2_008200,NA,NA,NA,NA,NA
adrb2_008400,NA,NA,NA,NA,NA
adrb2_008600,NA,NA,NA,NA,NA
adrb2_008800,0,3,(42),(69),Y
adrb2_009000,NA,NA,NA,NA,NA
adrb2_009200,NA,NA,NA,NA,NA
adrb2_009400,NA,NA,NA,NA,NA
adrb2_009600,NA,NA,NA,NA,NA
adrb2_009800,NA,NA,NA,NA,NA
adrb2_010000,NA,NA,NA,NA,NA
adrb2_010200,NA,NA,NA,NA,NA
adrb2_010400,NA,NA,NA,NA,NA
adrb2_010600,NA,NA,NA,NA,NA
adrb2_010800,NA,NA,NA,NA,NA
adrb2_011000,NA,NA,NA,NA,NA
adrb2_011200,(7),9,31,55,Y
adrb2_011400,NA,NA,NA,NA,NA
adrb2_011600,NA,NA,NA,NA,NA
adrb2_011800,NA,NA,NA,NA,NA
adrb2_012000,NA,NA,NA,NA,NA
adrb2_012200,NA,NA,NA,NA,NA
adrb2_012400,NA,NA,NA,NA,NA
adrb2_012600,NA,NA,NA,NA,NA
adrb2_012800,NA,NA,NA,NA,NA
adrb2_013000,NA,NA,NA,NA,NA
adrb2_013200,NA,NA,NA,NA,NA
adrb2_013400,NA,NA,NA,NA,NA
adrb2_013600,NA,NA,NA,NA,NA
adrb2_013800,NA,NA,NA,NA,NA
